,Unnamed: 0,index,image_name,color,pixel_count,number_of_colors,first_color,percent_1,second_color,percent_2,third_color,percent_3,fourth_color,percent_4,fifth_color,percent_5
10,10,61,12,"[((255, 113, 103), 286574), ((255, 255, 255), 202396), ((48, 48, 48), 2125), ((161, 161, 161), 566), ((255, 174, 168), 522), ((151, 80, 75), 1)]",492184,6.0,"(255, 113, 103)",58.224972774409565,"(255, 255, 255)",0.411220194073761,"(48, 48, 48)",0.0043174910196186,"(161, 161, 161)",0.0011499764315784,"(255, 174, 168)",0.0010605789704663
11,11,62,13,"[((255, 255, 255), 510599), ((106, 150, 113), 372243), ((0, 0, 0), 57779), ((86, 120, 154), 39308), ((37, 66, 32), 2540), ((166, 131, 127), 428), ((187, 185, 245), 27), ((186, 243, 196), 11)]",982935,8.0,"(255, 255, 255)",51.94636471384171,"(106, 150, 113)",0.3787056112560851,"(0, 0, 0)",0.0587821168235946,"(86, 120, 154)",0.0399904368040613,"(37, 66, 32)",0.0025840976259874
12,12,46,14,"[((229, 229, 229), 318282), ((0, 134, 255), 61136), ((194, 134, 0), 5856), ((23, 0, 134), 5463), ((14, 14, 14), 4736), ((141, 141, 141), 3425), ((144, 0, 135), 1695), ((94, 160, 218), 1569), ((77, 85, 235), 657), ((255, 201, 255), 645), ((220, 107, 130), 507), ((72, 56, 137), 501), ((0, 208, 222), 423), ((193, 0, 44), 295), ((202, 184, 103), 251), ((113, 56, 75), 123), ((247, 0, 3), 40), ((124, 88, 49), 30), ((203, 117, 197), 12), ((226, 146, 108), 3), ((43, 0, 48), 2), ((202, 248, 193), 1)]",405652,22.0,"(229, 229, 229)",78.46183428160097,"(0, 134, 255)",0.1507104611834774,"(194, 134, 0)",0.014436019050812,"(23, 0, 134)",0.01346720834607,"(14, 14, 14)",0.0116750318006567
13,13,49,15,"[((235, 230, 224), 3713117), ((35, 34, 172), 1882737), ((196, 45, 28), 1737360), ((140, 49, 145), 179173), ((73, 72, 130), 57453), ((70, 1, 29), 45265), ((124, 124, 114), 15743), ((145, 62, 48), 11717), ((0, 0, 72), 1127), ((155, 149, 195), 883), ((50, 48, 36), 757), ((202, 72, 116), 660), ((230, 148, 136), 21), ((109, 106, 219), 13), ((5, 9, 38), 2)]",7646028,15.0,"(235, 230, 224)",48.56269163544784,"(35, 34, 172)",0.2462372620136886,"(196, 45, 28)",0.2272238605456323,"(140, 49, 145)",0.0234334742169398,"(73, 72, 130)",0.0075140975157297
14,14,56,16,"[((255, 255, 255), 485164), ((255, 235, 165), 47905), ((255, 158, 142), 19340), ((95, 102, 91), 14462), ((0, 0, 0), 10256), ((152, 175, 194), 246), ((255, 173, 83), 1)]",577374,7.0,"(255, 255, 255)",84.0294159418332,"(255, 235, 165)",0.0829704836033489,"(255, 158, 142)",0.0334964858133549,"(95, 102, 91)",0.0250478892364394,"(0, 0, 0)",0.0177631829628628
15,15,55,17,"[((231, 233, 235), 7142343), ((11, 175, 86), 682666), ((139, 140, 145), 422767), ((0, 0, 0), 270726), ((214, 50, 66), 133867), ((62, 0, 0), 93941), ((137, 189, 150), 88278), ((0, 94, 26), 49130), ((144, 79, 80), 6386), ((54, 81, 59), 1489), ((233, 162, 166), 8)]",8891601,11.0,"(231, 233, 235)",80.32685002397206,"(11, 175, 86)",0.076776499530287,"(139, 140, 145)",0.0475467803829704,"(0, 0, 0)",0.0304473851222069,"(214, 50, 66)",0.0150554438958743
16,16,104,18,"[((224, 221, 208), 808908), ((219, 0, 45), 29668), ((43, 139, 86), 12992), ((173, 163, 91), 12792), ((62, 62, 150), 11360), ((109, 155, 211), 10531), ((133, 133, 131), 9546), ((255, 225, 0), 8122), ((0, 0, 0), 7943), ((122, 14, 41), 2723), ((223, 152, 148), 2175), ((0, 152, 36), 1762), ((242, 117, 65), 1456), ((31, 0, 161), 426), ((255, 157, 0), 280), ((63, 44, 5), 188), ((34, 171, 187), 98), ((131, 49, 108), 77), ((0, 94, 89), 30), ((251, 254, 150), 19), ((162, 221, 165), 16), ((0, 140, 255), 12), ((173, 228, 5), 11), ((0, 56, 0), 9), ((62, 59, 89), 9), ((237, 93, 122), 8), ((150, 90, 0), 4), ((0, 210, 29), 2)]",921167,28.0,"(224, 221, 208)",87.81339322837228,"(219, 0, 45)",0.032206972242818,"(43, 139, 86)",0.0141038487049579,"(173, 163, 91)",0.0138867328074062,"(62, 62, 150)",0.0123321829809361
17,17,109,19,"[((255, 255, 255), 5322203), ((153, 153, 153), 99234), ((51, 51, 51), 19986), ((22, 111, 21), 1655), ((230, 13, 21), 943), ((92, 33, 27), 879), ((153, 23, 23), 80), ((59, 103, 70), 17), ((173, 218, 177), 3)]",5445000,9.0,"(255, 255, 255)",97.74477502295684,"(153, 153, 153)",0.0182247933884297,"(51, 51, 51)",0.0036705234159779,"(22, 111, 21)",0.0003039485766758,"(230, 13, 21)",0.00017318640955
18,18,80,20,"[((254, 254, 254), 877333), ((63, 151, 255), 65325), ((255, 226, 0), 40632), ((152, 152, 152), 30293), ((131, 0, 234), 26176), ((239, 206, 154), 5644), ((55, 55, 55), 4469), ((255, 0, 0), 3500), ((0, 163, 83), 2655), ((218, 188, 255), 2444), ((229, 101, 255), 2217), ((128, 253, 255), 2164), ((57, 103, 154), 1462), ((241, 0, 88), 983), ((80, 20, 149), 894), ((255, 133, 0), 763), ((255, 149, 156), 644), ((105, 58, 102), 608), ((0, 177, 153), 369), ((246, 186, 71), 212), ((215, 0, 148), 181), ((205, 255, 193), 176), ((148, 107, 200), 137), ((0, 181, 240), 79), ((158, 68, 75), 56), ((166, 182, 75), 40), ((133, 94, 49), 34), ((222, 85, 63), 29), ((91, 121, 64), 6)]",1069525,29.0,"(254, 254, 254)",82.03015357284777,"(63, 151, 255)",0.0610785161637175,"(255, 226, 0)",0.0379906968046562,"(152, 152, 152)",0.0283237885977419,"(131, 0, 234)",0.0244744162128047
19,19,79,21,"[((172, 189, 134), 869467), ((255, 255, 255), 660860), ((123, 174, 217), 341799), ((0, 0, 0), 173731), ((86, 94, 67), 25921), ((255, 22, 22), 1032), ((53, 83, 116), 395), ((221, 89, 67), 255), ((211, 211, 92), 83), ((181, 122, 93), 56), ((27, 41, 127), 1)]",2073600,11.0,"(172, 189, 134)",41.93031442901234,"(255, 255, 255)",0.318701774691358,"(123, 174, 217)",0.1648336226851851,"(0, 0, 0)",0.0837823109567901,"(86, 94, 67)",0.0125004822530864
